feature,importance
rain_3d,0.18411869503968262
flow_3d_avg,0.17315565279868675
rain_7d,0.12259254132301373
rain_14d,0.08202727955116401
flow_7d_avg,0.06902483370131368
capacity_q95,0.05807455184981504
flow_lag1,0.0525049956796941
river_drainage_area_sqmi,0.051351922876800946
pred_flow,0.03992694161950736
flow_14d_avg,0.039866057593093016
flow_lag3,0.032466769678556995
flow_lag2,0.0321968949853037
river_latitude,0.022768374353201323
river_elevation_ft,0.021959848810657576
river_longitude,0.016974358394029845
horizon_day,0.0009902817454793677
