horizon_day,precision,recall,f1,support_flood
1,0.21818181818181817,0.5714285714285714,0.3157894736842105,168
2,0.20993227990970656,0.5568862275449101,0.30491803278688523,167
3,0.17841409691629956,0.5031055900621118,0.2634146341463415,161
4,0.19907407407407407,0.581081081081081,0.296551724137931,148
5,0.20327102803738317,0.514792899408284,0.2914572864321608,169
6,0.21973094170403587,0.5697674418604651,0.31715210355987056,172
7,0.21348314606741572,0.5621301775147929,0.30944625407166126,169
8,0.17777777777777778,0.4968944099378882,0.2618657937806874,161
9,0.20046620046620048,0.581081081081081,0.29809358752166376,148
10,0.20185614849187936,0.514792899408284,0.29,169
