column_name,num_files_present
pred_minus_capacity,2
pred_prob_flood,2
rain,2
rain_flow_interaction,2
rain_lag1,2
rain_lag2,2
rain_lag3,2
rain_lag4,2
rain_lag5,2
rain_lag6,2
rain_lag7,2
rainfall,2
site_topo_cd,2
streamflow,2
support_normal,2
true_minus_capacity,2
usgs_00020_temperature_air_degrees_celsius,2
usgs_00301_dissolved_oxygen_water_unfiltered_percent_of_saturation,2
usgs_00301_dissolved_oxygen_water_unfiltered_percent_of_saturation_x,2
usgs_00301_dissolved_oxygen_water_unfiltered_percent_of_saturation_y,2
usgs_32318_chlorophylls_water_in_situ_fluorometric_method_excitation_at_470_15_nm_emission_at_685_20_nm_micrograms_per_liter,2
usgs_32318_chlorophylls_water_in_situ_fluorometric_method_excitation_at_470_15_nm_emission_at_685_20_nm_micrograms_per_liter_x,2
usgs_32318_chlorophylls_water_in_situ_fluorometric_method_excitation_at_470_15_nm_emission_at_685_20_nm_micrograms_per_liter_y,2
usgs_70387_chloride_water_unfiltered_computed_by_regression_equation_milligrams_per_liter,2
usgs_99133_nitrate_plus_nitrite_water_in_situ_milligrams_per_liter_as_nitrogen_x,2
usgs_99133_nitrate_plus_nitrite_water_in_situ_milligrams_per_liter_as_nitrogen_y,2
best_cv_f1_search,1
best_cv_recall_search,1
col_count,1
column_name,1
date_col,1
discharge_col,1
discharge_max,1
discharge_mean,1
discharge_missing,1
discharge_neg_count,1
discharge_zero_count,1
duplicate_dates,1
flood_pred,1
flood_prob,1
has_discharge,1
has_rain,1
high_missing_cols_over_50pct,1
max_date,1
min_date,1
missing_ratio_mean,1
num_files_present,1
rain_col,1
rain_max,1
rain_mean,1
rain_missing,1
rain_neg_count,1
rain_zero_count,1
recall_target,1
river_id_col,1
river_id_value,1
river_name_col,1
river_name_value,1
row_count,1
static_features_missing_ratio,1
static_features_present,1
status,1
test_rows,1
threshold_multiplier,1
train_rows,1
unique_dates,1
usgs_62611_groundwater_level_above_navd_1988_feet,1
usgs_74207_moisture_content_soil_volumetric_percent_of_total_volume,1
usgs_80154_suspended_sediment_concentration_milligrams_per_liter,1
usgs_80155_suspended_sediment_discharge_short_tons_per_day,1
