file_name,status,row_count,col_count,river_id_col,river_id_value,river_name_col,river_name_value,date_col,min_date,max_date,unique_dates,duplicate_dates,has_discharge,discharge_col,discharge_missing,discharge_neg_count,discharge_zero_count,discharge_mean,discharge_max,has_rain,rain_col,rain_missing,rain_neg_count,rain_zero_count,rain_mean,rain_max,missing_ratio_mean,high_missing_cols_over_50pct,static_features_present,static_features_missing_ratio
03070500.csv,OK,4017,5,river_id,3070500,river_name,Big Sandy Creek at Rockville,date,2014-01-01,2024-12-31,4017.0,0.0,True,streamflow,0.0,0.0,0.0,412.17487179487176,10500.0,True,rainfall,0.0,0.0,2493.0,3.0246452576549663,94.0,0.0,0,,{}
audit_columns_inventory.csv,OK,261,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
audit_core_columns_presence.csv,OK,103,9,river_id,True,river_name,True,date,,,,,True,usgs_00060_discharge_cubic_feet_per_second,0.0,0.0,51.0,0.5048543689320388,1.0,True,usgs_00045_precipitation_total_inches,0.0,0.0,97.0,0.05825242718446602,1.0,0.0,0,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 0.0, 'river_elevation_ft': 0.0}"
audit_summary_all_rivers.csv,OK,103,31,,,,,,,,,,False,,,,,,,False,,,,,,,0.37644848105230194,6,,{}
baseline_regression_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
baseline_regression_summary.csv,OK,1,5,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
clean_classification_dataset.csv,OK,36467,25,river_id,1434000,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,"river_drainage_area_sqmi, river_elevation_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_elevation_ft': 0.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
clean_is_flood_feature_importance.csv,OK,25,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
clean_is_flood_summary.csv,OK,1,8,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
clean_is_flood_test_predictions.csv,OK,9652,152,river_id,1464500,river_name,,date,,,,,True,usgs_00060_discharge_cubic_feet_per_second,9652.0,0.0,0.0,,,True,usgs_00045_precipitation_total_inches,9652.0,0.0,0.0,,,0.8092105263157895,123,"river_drainage_area_sqmi, river_mainstem_length_km, river_elevation_ft, river_gage_datum_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_mainstem_length_km': 1.0, 'river_elevation_ft': 0.0, 'river_gage_datum_ft': 1.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
clean_is_flood_threshold_tuning.csv,OK,91,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
