threshold,precision,recall,f1
0.05,0.1956521739130435,1.0,0.32727272727272727
0.060000000000000005,0.21025308241401688,1.0,0.34745308310991957
0.07,0.22367966862271316,1.0,0.36558533145275035
0.08000000000000002,0.23410404624277456,1.0,0.3793911007025761
0.09000000000000001,0.2449905482041588,1.0,0.39356210142726994
0.1,0.25371965544244324,1.0,0.4047470331043098
0.11000000000000001,0.2656826568265683,1.0,0.4198250728862974
0.12000000000000001,0.2771599657827203,1.0,0.43402545210984594
0.13,0.2877442273534636,1.0,0.44689655172413795
0.14,0.29697525206232817,1.0,0.4579505300353357
0.15000000000000002,0.3082778306374881,1.0,0.4712727272727273
0.16000000000000003,0.31702544031311153,1.0,0.4814264487369985
0.17000000000000004,0.32628398791540786,1.0,0.4920273348519362
0.18000000000000005,0.33436532507739936,1.0,0.5011600928074246
0.19,0.34303864478560087,1.0,0.5108395743003548
0.2,0.35121951219512193,1.0,0.51985559566787
0.21000000000000002,0.36,1.0,0.5294117647058824
0.22000000000000003,0.3677639046538025,1.0,0.537759336099585
0.23000000000000004,0.3745664739884393,1.0,0.5449957947855341
0.24000000000000005,0.38162544169611307,1.0,0.5524296675191815
0.25000000000000006,0.3891891891891892,1.0,0.5603112840466926
0.26000000000000006,0.39876923076923076,1.0,0.5701715794104707
0.27,0.4057608015028178,1.0,0.57728285077951
0.28,0.4151185137732223,1.0,0.5866908103214125
0.29000000000000004,0.4251968503937008,1.0,0.5966850828729282
0.30000000000000004,0.4291390728476821,1.0,0.6005560704355886
0.31000000000000005,0.43695212407282535,1.0,0.6081651806663538
0.32000000000000006,0.4490644490644491,1.0,0.6197991391678622
0.33,0.45892351274787535,1.0,0.629126213592233
0.34,0.463519313304721,1.0,0.6334310850439883
0.35000000000000003,0.4712727272727273,1.0,0.6406327236777064
0.36000000000000004,0.47928994082840237,1.0,0.648
0.37000000000000005,0.48868778280542985,1.0,0.6565349544072948
0.38000000000000006,0.49617151607963245,1.0,0.6632548618219037
0.39000000000000007,0.5011600928074246,1.0,0.6676970633693973
0.4000000000000001,0.5114443567482242,1.0,0.6767624020887728
0.4100000000000001,0.5221595487510072,1.0,0.6860772895712017
0.42000000000000004,0.5350949628406276,1.0,0.6971490048413125
0.43000000000000005,0.5440806045340051,1.0,0.7047308319738989
0.44000000000000006,0.5552699228791774,1.0,0.7140495867768595
0.45000000000000007,0.567922874671341,1.0,0.7244270542202348
0.4600000000000001,0.5801253357206804,1.0,0.7342776203966006
0.4700000000000001,0.5848375451263538,1.0,0.7380410022779044
0.4800000000000001,0.5977859778597786,1.0,0.7482678983833718
0.49000000000000005,0.6056074766355141,1.0,0.7543655413271245
0.5000000000000001,0.6159695817490495,1.0,0.7623529411764706
0.5100000000000001,0.6297376093294461,1.0,0.7728085867620751
0.5200000000000001,0.6371681415929203,1.0,0.7783783783783784
0.5300000000000001,0.6415841584158416,1.0,0.781664656212304
0.5400000000000001,0.6512096774193549,0.9969135802469136,0.7878048780487805
0.5500000000000002,0.6578140960163432,0.9938271604938271,0.791641057160418
0.5600000000000002,0.6673575129533679,0.9938271604938271,0.7985120892746436
0.5700000000000002,0.6729362591431557,0.9938271604938271,0.8024922118380062
0.5800000000000002,0.6793650793650794,0.9907407407407407,0.8060263653483992
0.5900000000000002,0.6895810955961332,0.9907407407407407,0.8131728942368588
0.6000000000000002,0.6948968512486428,0.9876543209876543,0.815806246016571
0.6100000000000001,0.7040704070407041,0.9876543209876543,0.8220937700706487
0.6200000000000001,0.7096774193548387,0.9845679012345679,0.8248222365869424
0.6300000000000001,0.7115600448933782,0.9783950617283951,0.8239116309291747
0.6400000000000001,0.7180067950169875,0.9783950617283951,0.8282168517308949
0.6500000000000001,0.7233065442020666,0.9722222222222222,0.8294930875576036
0.6600000000000001,0.738569753810082,0.9722222222222222,0.8394403730846103
0.6700000000000002,0.7508939213349225,0.9722222222222222,0.8473436449226631
0.6800000000000002,0.7615571776155717,0.9660493827160493,0.8517006802721089
0.6900000000000002,0.7619631901840491,0.9583333333333334,0.8489405331510594
0.7000000000000002,0.7642679900744417,0.9506172839506173,0.8473177441540578
0.7100000000000002,0.7688442211055276,0.9444444444444444,0.8476454293628809
0.7200000000000002,0.7922077922077922,0.941358024691358,0.8603667136812412
0.7300000000000002,0.7962962962962963,0.9290123456790124,0.8575498575498576
0.7400000000000002,0.8026666666666666,0.9290123456790124,0.8612303290414879
0.7500000000000002,0.8164383561643835,0.9197530864197531,0.865021770682148
0.7600000000000002,0.8291316526610645,0.9135802469135802,0.869309838472834
0.7700000000000002,0.8402282453637661,0.9089506172839507,0.8732394366197183
0.7800000000000001,0.851528384279476,0.9027777777777778,0.8764044943820225
0.7900000000000001,0.8573551263001485,0.8904320987654321,0.8735806207418623
0.8000000000000002,0.856071964017991,0.8811728395061729,0.8684410646387832
0.8100000000000002,0.8591117917304747,0.8657407407407407,0.862413528055342
0.8200000000000002,0.8677165354330708,0.8503086419753086,0.8589243959469992
0.8300000000000002,0.8739903069466882,0.8348765432098766,0.8539857932123125
0.8400000000000002,0.8853288364249579,0.8101851851851852,0.8460918614020951
0.8500000000000002,0.8969804618117229,0.779320987654321,0.8340214698596201
0.8600000000000002,0.9075785582255084,0.7577160493827161,0.8259041211101766
0.8700000000000002,0.9189723320158103,0.7175925925925926,0.8058925476603119
0.8800000000000002,0.930672268907563,0.683641975308642,0.7882562277580071
0.8900000000000002,0.9386363636363636,0.6373456790123457,0.7591911764705882
0.9000000000000002,0.9444444444444444,0.6033950617283951,0.736346516007533
0.9100000000000003,0.9546742209631728,0.5200617283950617,0.6733266733266733
0.9200000000000003,0.9732441471571907,0.44907407407407407,0.614572333685322
0.9300000000000002,0.9831932773109243,0.3611111111111111,0.5282167042889391
0.9400000000000002,0.9878048780487805,0.25,0.39901477832512317
0.9500000000000002,1.0,0.1728395061728395,0.29473684210526313
