threshold_multiplier,precision,recall,f1
0.85,0.24058653149891382,0.5778260869565217,0.3397239263803681
0.9,0.24155995343422584,0.5413043478260869,0.33404883284142745
0.95,0.23908093562409438,0.5021739130434782,0.3239377366428271
1.0,0.23240371845949534,0.45652173913043476,0.3080082135523614
1.05,0.22131529850746268,0.4126086956521739,0.28809957498482086
1.1,0.20615996025832092,0.36086956521739133,0.26240910527979766
