threshold,precision,recall,f1
0.1,0.26282051282051283,0.9975669099756691,0.41603247082699135
0.11,0.27507547802750754,0.9975669099756691,0.4312384959242703
0.12000000000000001,0.2862129144851658,0.9975669099756691,0.44480607540005423
0.13,0.2961622013034033,0.9951338199513382,0.4564732142857143
0.14,0.30839002267573695,0.9927007299270073,0.47058823529411764
0.15000000000000002,0.31752254018032144,0.9854014598540146,0.4802846131040617
0.16,0.32566585956416466,0.9817518248175182,0.4890909090909091
0.17,0.33429991714995855,0.9817518248175182,0.49876390605686033
0.18,0.3403984739296312,0.9768856447688564,0.5048726815466834
0.19,0.35126859142607175,0.9768856447688564,0.5167310167310167
0.2,0.3617886178861789,0.9744525547445255,0.5276679841897233
0.21000000000000002,0.37412424100887437,0.9744525547445255,0.5406682416469795
0.22,0.385652383245065,0.9744525547445255,0.5526043463263194
0.23,0.39594661393969355,0.9744525547445255,0.5630931458699473
0.24000000000000002,0.40929994890137966,0.9744525547445255,0.5764663548038863
0.25,0.41959140911471976,0.9744525547445255,0.5865983156352984
0.26,0.43235930735930733,0.9720194647201946,0.598501872659176
0.27,0.4372937293729373,0.9671532846715328,0.6022727272727273
0.28,0.4455056179775281,0.9647201946472019,0.6095311299000769
0.29000000000000004,0.45397008055235905,0.9598540145985401,0.61640625
0.30000000000000004,0.46321365509123014,0.9574209245742092,0.6243554145180484
0.31,0.4717548076923077,0.9549878345498783,0.6315366049879324
0.32,0.47895057962172055,0.9549878345498783,0.6379520520113775
0.33,0.4915466499686913,0.9549878345498783,0.649028524183547
0.33999999999999997,0.5048293625241468,0.9537712895377128,0.6602105263157895
0.35,0.5178807947019868,0.9513381995133819,0.6706689536878216
0.36,0.5246788370520622,0.9440389294403893,0.6744893524554542
0.37,0.5327812284334024,0.9391727493917275,0.6798767062967855
0.38,0.5435861091424522,0.9330900243309003,0.6869682042095835
0.39,0.5588880760790051,0.9294403892944039,0.6980356327089996
0.4,0.5693923480870218,0.9233576642335767,0.7044083526682134
0.41000000000000003,0.578544061302682,0.9184914841849149,0.7099200752233192
0.42000000000000004,0.5857478465152701,0.9099756690997567,0.7127203430204859
0.43000000000000005,0.5899280575539568,0.8978102189781022,0.7120115774240231
0.44000000000000006,0.600494233937397,0.8868613138686131,0.7161100196463654
0.45000000000000007,0.6028428093645485,0.8771289537712895,0.7145688800792864
0.45999999999999996,0.6082121471343028,0.864963503649635,0.7142139628327474
0.47,0.6178010471204188,0.8613138686131386,0.7195121951219512
0.48,0.6255545696539485,0.8576642335766423,0.7234479220112878
0.49,0.6345454545454545,0.8491484184914841,0.7263267429760666
0.5,0.644589552238806,0.8406326034063261,0.7296726504751848
0.51,0.6507633587786259,0.829683698296837,0.7294117647058823
0.52,0.6604514229636899,0.818734793187348,0.7311243889190657
0.53,0.673407482305359,0.8102189781021898,0.7355052457205964
0.54,0.6815816857440167,0.7968369829683698,0.7347167694896243
0.55,0.6909871244635193,0.7834549878345499,0.734321550741163
0.56,0.6960352422907489,0.7688564476885644,0.730635838150289
0.5700000000000001,0.7123287671232876,0.7591240875912408,0.734982332155477
0.58,0.7199533255542591,0.7506082725060828,0.7349612864800477
0.59,0.7278177458033573,0.7384428223844283,0.7330917874396136
0.6,0.7277227722772277,0.7153284671532847,0.7214723926380369
0.61,0.7287705956907478,0.6995133819951338,0.7138423339540658
0.62,0.7318652849740933,0.6873479318734793,0.7089084065244667
0.63,0.7369826435246996,0.6715328467153284,0.7027371101209421
0.64,0.7424657534246575,0.6593673965936739,0.6984536082474226
0.65,0.7489421720733427,0.6459854014598541,0.6936642717178315
0.66,0.7598828696925329,0.6313868613138686,0.6897009966777409
0.67,0.7653213751868461,0.6228710462287105,0.6867873910127431
0.6799999999999999,0.7691107644305772,0.5997566909975669,0.6739576213260424
0.69,0.7817589576547231,0.583941605839416,0.6685236768802229
0.7,0.7871621621621622,0.5669099756690997,0.6591230551626591
0.71,0.7899461400359067,0.5352798053527981,0.6381435823060189
0.72,0.8091603053435115,0.5158150851581509,0.6300148588410104
0.73,0.8178137651821862,0.49148418491484186,0.6139817629179332
0.74,0.8115631691648822,0.4610705596107056,0.5880527540729248
0.75,0.8225806451612904,0.4343065693430657,0.5684713375796179
0.76,0.8226950354609929,0.4233576642335766,0.5590361445783133
0.77,0.8333333333333334,0.40145985401459855,0.541871921182266
0.78,0.8405405405405405,0.37834549878345497,0.5218120805369127
0.79,0.8555240793201133,0.36739659367396593,0.5140425531914894
0.8,0.8650306748466258,0.34306569343065696,0.4912891986062718
0.8099999999999999,0.87,0.3175182481751825,0.46524064171123
0.82,0.8920863309352518,0.30170316301703165,0.4509090909090909
0.83,0.9094488188976378,0.28102189781021897,0.42936802973977695
0.84,0.9217391304347826,0.25790754257907544,0.40304182509505704
0.85,0.9170506912442397,0.24209245742092458,0.383060635226179
0.86,0.9191919191919192,0.22141119221411193,0.3568627450980392
0.87,0.9347826086956522,0.20924574209245742,0.341948310139165
0.88,0.9314285714285714,0.19829683698296838,0.32698094282848544
0.89,0.9254658385093167,0.18126520681265207,0.3031536113936928
0.9,0.9295774647887324,0.16058394160583941,0.27385892116182575
