threshold,precision,recall,f1
0.01,0.20824847250509165,1.0,0.3447113358617783
0.02,0.2698482515944579,1.0,0.42500865950813993
0.03,0.3142125480153649,1.0,0.47817614964925953
0.04,0.35122370115929585,1.0,0.5198601843025104
0.05,0.3822429906542056,1.0,0.5530764029749831
0.060000000000000005,0.40975935828877,0.9991850040749797,0.5811803744963261
0.06999999999999999,0.43672014260249553,0.9983700081499592,0.6076388888888888
0.08,0.4603532506576475,0.9983700081499592,0.6301440329218106
0.09,0.48294894539720085,0.9983700081499592,0.6509897701607547
0.09999999999999999,0.5018450184501845,0.9975550122249389,0.6677577741407529
0.11,0.5193370165745856,0.9959250203748982,0.6826815642458101
0.12,0.5326939843068875,0.9959250203748982,0.6941209883555808
0.13,0.5457793657882983,0.9959250203748982,0.705135603000577
0.14,0.5604219215776198,0.9959250203748982,0.7172413793103448
0.15000000000000002,0.5726335520149953,0.9959250203748982,0.7271645343647724
0.16,0.5884902480134843,0.9959250203748982,0.7398214015438171
0.17,0.6007380073800738,0.9951100244498777,0.7491946617579384
0.18000000000000002,0.6108054027013506,0.9951100244498777,0.7569745815251085
0.19,0.6235624840276003,0.9942950285248574,0.7664520182189414
0.2,0.6339053562142486,0.993480032599837,0.773968253968254
0.21000000000000002,0.6468559299548952,0.993480032599837,0.7835449140286036
0.22,0.6583850931677019,0.993480032599837,0.791944128634075
0.23,0.6692286576996981,0.993480032599837,0.7997375758569788
0.24000000000000002,0.6800557880055788,0.993480032599837,0.807418446762709
0.25,0.6920887877063175,0.9910350448247759,0.8150134048257373
0.26,0.7023121387283237,0.9902200488997555,0.821778829895164
0.27,0.7132784958871915,0.9894050529747351,0.8289518607033117
0.28,0.7230494341870161,0.9894050529747351,0.8355127322780455
0.29000000000000004,0.7350893127459885,0.9894050529747351,0.8434948758033698
0.3,0.7453874538745388,0.9877750611246944,0.8496319663512093
0.31,0.7544351073762838,0.9877750611246944,0.8554790894653256
0.32,0.7586854460093897,0.9877750611246944,0.8582049920339884
0.33,0.7675744141861938,0.9877750611246944,0.8638631503920171
0.34,0.7761385503527902,0.9861450692746536,0.8686288585786073
0.35000000000000003,0.785830354241144,0.9853300733496333,0.8743446031459049
0.36000000000000004,0.7974934036939314,0.9853300733496333,0.8815165876777251
0.37,0.8068068068068068,0.9853300733496333,0.8871766648321409
0.38,0.8145650708024275,0.9845150774246129,0.8915129151291513
0.39,0.8242920504947117,0.9845150774246129,0.8973073351903436
0.4,0.8310973512211902,0.9845150774246129,0.9013243797798918
0.41000000000000003,0.8376127689104789,0.9837000814995925,0.9047976011994003
0.42000000000000004,0.843466107617051,0.9837000814995925,0.908201655379985
0.43,0.8517863459497701,0.9812550937245313,0.9119484946032949
0.44,0.8595927116827439,0.980440097799511,0.9160479725870931
0.45,0.8672438672438673,0.9796251018744906,0.9200153080750095
0.46,0.8728197674418605,0.9788101059494703,0.9227814060699193
0.47000000000000003,0.8801758886038842,0.9788101059494703,0.9268763264518619
0.48000000000000004,0.8872458410351202,0.9779951100244498,0.9304128707113781
0.49,0.8915304606240714,0.9779951100244498,0.9327633113097551
0.5,0.8974550898203593,0.9771801140994295,0.9356223175965666
0.51,0.9035418236623964,0.9771801140994295,0.9389193422083008
0.52,0.9073023079833522,0.9771801140994295,0.9409456543064548
0.53,0.9170172084130019,0.9771801140994295,0.9461432235154863
0.54,0.9208301306687163,0.9763651181744091,0.9477848101265823
0.55,0.924506387921022,0.9731051344743277,0.9481834425253127
0.56,0.9309403043308623,0.9722901385493072,0.9511660354793702
0.5700000000000001,0.9392744479495269,0.9706601466992665,0.9547094188376753
0.5800000000000001,0.9429250891795482,0.969437652811736,0.9559975889089813
0.59,0.9464856230031949,0.9657701711491442,0.9560306575231948
0.6,0.9498193496587716,0.9641401792991035,0.9569261880687563
0.61,0.952650748684743,0.9592502037489813,0.9559390862944163
0.62,0.9552663684424563,0.9572127139364304,0.9562385507836353
0.63,0.9597205096588574,0.9515077424612877,0.9555964804583589
0.64,0.9647302904564315,0.9474327628361858,0.9560032894736842
0.65,0.9682274247491639,0.9437652811735942,0.9558398679323153
0.66,0.9716582064297801,0.9360228198859005,0.9535076795350768
0.67,0.9731686541737649,0.9311328443357784,0.9516867971678468
0.68,0.9759139784946237,0.9246128769356153,0.9495710399665201
0.6900000000000001,0.977845351867941,0.917277913610432,0.9465937762825904
0.7000000000000001,0.9798422436459246,0.9111654441727791,0.9442567567567568
0.7100000000000001,0.9805137289636847,0.902200488997555,0.9397283531409168
0.72,0.9830281375614114,0.8969030154849226,0.9379927551672704
