river_id,target_date,horizon_day,pred_flow,true_flow,capacity_q95,true_class,pred_flow_adjusted,pred_class
1434000,2022-01-03,1,7702.3046875,6250.0,14914.999999999964,0,8472.53515625,0
1434000,2022-01-04,2,5961.3916015625,5870.0,14914.999999999964,0,6557.530761718751,0
1434000,2022-01-05,3,5059.23779296875,5550.0,14914.999999999964,0,5565.161572265625,0
1434000,2022-01-06,4,4841.15478515625,4910.0,14914.999999999964,0,5325.270263671875,0
1434000,2022-01-07,5,4103.82373046875,4940.0,14914.999999999964,0,4514.206103515626,0
1434000,2022-01-08,6,3766.394287109375,4240.0,14914.999999999964,0,4143.033715820313,0
1434000,2022-01-09,7,3215.769287109375,3980.0,14914.999999999964,0,3537.346215820313,0
1434000,2022-01-10,8,3835.7705078125,4380.0,14914.999999999964,0,4219.34755859375,0
1434000,2022-01-11,9,3552.6396484375,4840.0,14914.999999999964,0,3907.9036132812503,0
1434000,2022-01-12,10,3313.23046875,4160.0,14914.999999999964,0,3644.5535156250003,0
1434000,2022-01-08,1,3774.4453125,4240.0,14914.999999999964,0,4151.88984375,0
1434000,2022-01-09,2,3225.717529296875,3980.0,14914.999999999964,0,3548.2892822265626,0
1434000,2022-01-10,3,3855.643798828125,4380.0,14914.999999999964,0,4241.208178710938,0
1434000,2022-01-11,4,3565.563720703125,4840.0,14914.999999999964,0,3922.1200927734376,0
1434000,2022-01-12,5,3322.1171875,4160.0,14914.999999999964,0,3654.3289062500003,0
1434000,2022-01-13,6,3123.567626953125,3770.0,14914.999999999964,0,3435.9243896484377,0
1434000,2022-01-14,7,3115.62451171875,4070.0,14914.999999999964,0,3427.186962890625,0
1434000,2022-01-15,8,3126.233154296875,3960.0,14914.999999999964,0,3438.856469726563,0
1434000,2022-01-16,9,2870.507568359375,3270.0,14914.999999999964,0,3157.5583251953126,0
1434000,2022-01-17,10,2560.04638671875,2450.0,14914.999999999964,0,2816.0510253906255,0
1434000,2022-01-13,1,3179.10888671875,3770.0,14914.999999999964,0,3497.0197753906255,0
1434000,2022-01-14,2,3176.933837890625,4070.0,14914.999999999964,0,3494.627221679688,0
1434000,2022-01-15,3,3181.49462890625,3960.0,14914.999999999964,0,3499.6440917968753,0
1434000,2022-01-16,4,2916.769287109375,3270.0,14914.999999999964,0,3208.446215820313,0
1434000,2022-01-17,5,2597.554931640625,2450.0,14914.999999999964,0,2857.310424804688,0
1434000,2022-01-18,6,2892.455810546875,3610.0,14914.999999999964,0,3181.7013916015626,0
1434000,2022-01-19,7,2943.68701171875,3560.0,14914.999999999964,0,3238.0557128906253,0
1434000,2022-01-20,8,2974.820068359375,3070.0,14914.999999999964,0,3272.3020751953127,0
1434000,2022-01-21,9,2922.574462890625,3980.0,14914.999999999964,0,3214.831909179688,0
1434000,2022-01-22,10,2817.11474609375,3510.0,14914.999999999964,0,3098.8262207031253,0
1434000,2022-01-18,1,2939.303955078125,3610.0,14914.999999999964,0,3233.2343505859376,0
1434000,2022-01-19,2,2980.554443359375,3560.0,14914.999999999964,0,3278.609887695313,0
1434000,2022-01-20,3,3007.287841796875,3070.0,14914.999999999964,0,3308.016625976563,0
1434000,2022-01-21,4,2949.625244140625,3980.0,14914.999999999964,0,3244.587768554688,0
1434000,2022-01-22,5,2837.098388671875,3510.0,14914.999999999964,0,3120.808227539063,0
1434000,2022-01-23,6,2674.0908203125,2750.0,14914.999999999964,0,2941.4999023437504,0
1434000,2022-01-24,7,2569.31005859375,3130.0,14914.999999999964,0,2826.241064453125,0
1434000,2022-01-25,8,2437.649658203125,2860.0,14914.999999999964,0,2681.4146240234377,0
1434000,2022-01-26,9,2289.524169921875,3290.0,14914.999999999964,0,2518.476586914063,0
1434000,2022-01-27,10,2148.03125,3220.0,14914.999999999964,0,2362.8343750000004,0
1434000,2022-01-23,1,2712.076171875,2750.0,14914.999999999964,0,2983.2837890625,0
1434000,2022-01-24,2,2607.006591796875,3130.0,14914.999999999964,0,2867.7072509765626,0
1434000,2022-01-25,3,2474.271728515625,2860.0,14914.999999999964,0,2721.698901367188,0
1434000,2022-01-26,4,2317.99951171875,3290.0,14914.999999999964,0,2549.7994628906254,0
1434000,2022-01-27,5,2172.955322265625,3220.0,14914.999999999964,0,2390.2508544921875,0
1434000,2022-01-28,6,2067.513671875,2770.0,14914.999999999964,0,2274.2650390625004,0
1434000,2022-01-29,7,2130.0615234375,2240.0,14914.999999999964,0,2343.0676757812503,0
