threshold,precision,recall,f1
0.01,0.26592370338619803,1.0,0.42012595652468343
0.02,0.33640602971478145,1.0,0.5034488355108334
0.03,0.3875562218890555,1.0,0.5586169638033496
0.04,0.42958039052762775,1.0,0.6009880848590526
0.05,0.46632591701743836,1.0,0.636046750051261
0.060000000000000005,0.49735279961495266,0.9993552546744036,0.664167113015533
0.06999999999999999,0.5257801899592944,0.9993552546744036,0.6890420093354078
0.08,0.551441794232823,0.9987105093488072,0.7105504587155963
0.09,0.5713758079409049,0.9974210186976145,0.7265469061876247
0.09999999999999999,0.5917001338688086,0.9974210186976145,0.7427679750330093
0.11,0.6120672601384768,0.9974210186976145,0.7586122348902783
0.12,0.6303771661569827,0.996776273372018,0.7723242163107281
0.13,0.6490233144297417,0.9961315280464217,0.7859595574208318
0.14,0.6655179840620289,0.9961315280464217,0.7979341510652034
0.15000000000000002,0.6797184337879455,0.9961315280464217,0.8080543933054394
0.16,0.6940700808625337,0.9961315280464217,0.818109610802224
0.17,0.7085819183111519,0.9954867827208252,0.8278820375335121
0.18000000000000002,0.724202626641651,0.9954867827208252,0.8384469182731469
0.19,0.7407585213634181,0.9948420373952289,0.8492019812878371
0.2,0.7572481572481572,0.9935525467440361,0.8594534300055773
0.21000000000000002,0.7697302697302697,0.9935525467440361,0.8674359696031523
0.22,0.7808462123131492,0.9935525467440361,0.8744502766349836
0.23,0.7939128191900955,0.9922630560928434,0.8820747958160194
0.24000000000000002,0.8044955567171981,0.9922630560928434,0.8885681293302541
0.25,0.813442709711564,0.9909735654416505,0.8934747856416219
0.26,0.8216100561647499,0.9903288201160542,0.8981143107732787
0.27,0.8338762214983714,0.9903288201160542,0.905393457117595
0.28,0.8437242515792365,0.9903288201160542,0.9111671362894854
0.29000000000000004,0.8530963621216329,0.9903288201160542,0.916604505445323
0.3,0.864803838554897,0.9877498388136686,0.9221971407072987
0.31,0.8721162062090573,0.9871050934880722,0.9260547406623317
0.32,0.8794938165084843,0.9858156028368794,0.9296245630034959
